date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:06	4293921/4293921	---M--	200	added ('OK')	image/png	etag:W/%22418521-152fb82faa5%22	http://williamfelker.com/content/images/2016/02/CIP2014_01.png	williamfelker.com/content/images/2016/02/CIP2014_01.png	(from http://williamfelker.com/)
20:40:55	3659899/3659899	---M--	200	added ('OK')	image/png	etag:W/%2237d87b-15a7dda6327%22	http://williamfelker.com/content/images/2017/02/Prjct06_OOBE_Master_v1-001.png	williamfelker.com/content/images/2017/02/Prjct06_OOBE_Master_v1-001.png	(from http://williamfelker.com/)
20:41:02	26955/26955	---MCZ	200	added ('OK')	application/javascript	etag:W/%22694b-15a5e9affc5%22	http://williamfelker.com/assets/js/plugins.js?v=e9b06ea6be	williamfelker.com/assets/js/plugins7672.js	(from http://williamfelker.com/)
20:41:05	4632/4632	---MCZ	200	added ('OK')	application/javascript	etag:W/%221218-15a5e9b00dd%22	http://williamfelker.com/assets/js/custom.js?v=e9b06ea6be	williamfelker.com/assets/js/custom7672.js	(from http://williamfelker.com/)
20:41:08	7028/7028	---MCZ	200	added ('OK')	text/html	etag:W/%221b74-609F9sCXyMIKz9Ze0afuEQ%22	http://williamfelker.com/tag/creating-equal-access-to-medi-cal/	williamfelker.com/tag/creating-equal-access-to-medi-cal/index.html	(from http://williamfelker.com/)
20:41:11	8792/8792	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222258-15a5e9afc31%22	http://williamfelker.com/assets/fonts/fontawesome.eot?3gkiod	williamfelker.com/assets/fonts/fontawesome2897.eot	(from http://williamfelker.com/assets/css/style.css?v=e9b06ea6be)
20:41:15	8612/8612	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2221a4-15a5e9afded%22	http://williamfelker.com/assets/fonts/fontawesome.ttf?3gkiod	williamfelker.com/assets/fonts/fontawesome2897.ttf	(from http://williamfelker.com/assets/css/style.css?v=e9b06ea6be)
20:41:18	8688/8688	---M--	200	added ('OK')	application/font-woff	etag:W/%2221f0-15a5e9afd61%22	http://williamfelker.com/assets/fonts/fontawesome.woff?3gkiod	williamfelker.com/assets/fonts/fontawesome2897.woff	(from http://williamfelker.com/assets/css/style.css?v=e9b06ea6be)
20:41:23	24907/24907	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22614b-15a5e9afcc9%22	http://williamfelker.com/assets/fonts/fontawesome.svg?3gkiod	williamfelker.com/assets/fonts/fontawesome2897.svg	(from http://williamfelker.com/assets/css/style.css?v=e9b06ea6be)
20:41:27	14003/14003	---MCZ	200	added ('OK')	text/html	etag:W/%2236b3-L05VQMjhnwaLgpQilR9XyA%22	http://williamfelker.com/2017/02/22/ifttt/	williamfelker.com/2017/02/22/ifttt/index.html	(from http://williamfelker.com/)
20:41:29	7020/7020	---MCZ	200	added ('OK')	text/html	etag:W/%221b6c-lcAqDIg8KhtCOOcKq2KF0w%22	http://williamfelker.com/tag/building-a-community-for-tool-makers/	williamfelker.com/tag/building-a-community-for-tool-makers/index.html	(from http://williamfelker.com/)
20:43:57	815217/815217	---M--	200	added ('OK')	image/png	etag:W/%22c7071-160def997af%22	http://williamfelker.com/content/images/2018/01/Screen-Shot-2018-01-09-at-23-29-26.png	williamfelker.com/content/images/2018/01/Screen-Shot-2018-01-09-at-23-29-26.png	(from http://williamfelker.com/2018/01/10/whole-person-care/)
20:45:41	5053394/5053394	---M--	200	added ('OK')	image/jpeg	etag:W/%224d1bd2-15a7cb591c7%22	http://williamfelker.com/content/images/2017/02/randall-bruder-136626.jpg	williamfelker.com/content/images/2017/02/randall-bruder-136626.jpg	(from http://williamfelker.com/)
20:47:41	4551526/4551526	---M--	200	added ('OK')	image/png	etag:W/%22457366-160dec52a6f%22	http://williamfelker.com/content/images/2018/01/cd4-020171112_4.png	williamfelker.com/content/images/2018/01/cd4-020171112_4.png	(from http://williamfelker.com/)
20:50:40	994773/994773	---M--	200	added ('OK')	image/png	etag:W/%22f2dd5-160def504db%22	http://williamfelker.com/content/images/2018/01/blueprint_sfgh.png	williamfelker.com/content/images/2018/01/blueprint_sfgh.png	(from http://williamfelker.com/2018/01/10/whole-person-care/)
20:50:43	20733/20733	---MCZ	200	added ('OK')	text/html	etag:W/%2250fd-DwAsOWmtrw5zqbAkWI8j+g%22	http://williamfelker.com/2017/02/21/data-emissions/	williamfelker.com/2017/02/21/data-emissions/index.html	(from http://williamfelker.com/)
20:50:46	6910/6910	---MCZ	200	added ('OK')	text/html	etag:W/%221afe-5IV4rOib1Jm1DS6DgzB3+A%22	http://williamfelker.com/tag/regulating-the-unregulated/	williamfelker.com/tag/regulating-the-unregulated/index.html	(from http://williamfelker.com/)
20:52:35	2363017/2363017	---M--	200	added ('OK')	image/png	etag:W/%22240e89-160def53357%22	http://williamfelker.com/content/images/2018/01/blueprint_bhac.png	williamfelker.com/content/images/2018/01/blueprint_bhac.png	(from http://williamfelker.com/2018/01/10/whole-person-care/)
20:52:37	2976310/2976310	---M--	200	added ('OK')	image/png	etag:W/%222d6a36-160def52147%22	http://williamfelker.com/content/images/2018/01/blueprint_hsa.png	williamfelker.com/content/images/2018/01/blueprint_hsa.png	(from http://williamfelker.com/2018/01/10/whole-person-care/)
20:52:41	16741/16741	---MCZ	200	added ('OK')	text/html	etag:W/%224165-2s41iMvO/nCBrJY17eFNqg%22	http://williamfelker.com/2017/02/20/nomad/	williamfelker.com/2017/02/20/nomad/index.html	(from http://williamfelker.com/)
20:53:34	294953/294953	---M--	200	added ('OK')	image/png	etag:W/%2248029-15d3a983b03%22	http://williamfelker.com/content/images/2017/07/Evolution-of-Formula.png	williamfelker.com/content/images/2017/07/Evolution-of-Formula.png	(from http://williamfelker.com/2017/02/22/ifttt/)
20:54:26	263956/263956	---M--	200	added ('OK')	image/png	etag:W/%2240714-15d3a9c003b%22	http://williamfelker.com/content/images/2017/07/Maker-Landing-Wireframe.png	williamfelker.com/content/images/2017/07/Maker-Landing-Wireframe.png	(from http://williamfelker.com/2017/02/22/ifttt/)
20:54:44	642498/642498	---M--	200	added ('OK')	image/png	etag:W/%229cdc2-15d34d4ecff%22	http://williamfelker.com/content/images/2017/07/Anatomy-of-Applet-2d.png	williamfelker.com/content/images/2017/07/Anatomy-of-Applet-2d.png	(from http://williamfelker.com/2017/02/22/ifttt/)
